w0,wa,level
-0.43060189100183566,-1.5522925863669443,68%
-0.4309803165668834,-1.5612397024144467,68%
-0.4309803165668834,-1.5715589399111023,68%
-0.43060189100183566,-1.583208746929623,68%
-0.4298465636579277,-1.5961422138088717,68%
-0.4287173759717854,-1.6103072620425123,68%
-0.42721887478368104,-1.6256468539807736,68%
-0.4253570940290125,-1.6420992225009332,68%
-0.4231395304417749,-1.6595981197217218,68%
-0.42057511336785874,-1.6780730837601578,68%
-0.41767416880972574,-1.6974497224566818,68%
-0.41444837784724115,-1.717650012926127,68%
-0.4109107296020881,-1.7385926157283396,68%
-0.40707546893515884,-1.7601932023933957,68%
-0.4029580390875278,-1.7823647949825883,68%
-0.3985750194959703,-1.8050181163178858,68%
-0.39394405903342183,-1.8280619494696198,68%
-0.38908380494319666,-1.8514035050548652,68%
-0.3840138277531196,-1.8749487948675374,68%
-0.3787545424719183,-1.8986030103357234,68%
-0.3733271263851882,-1.9222709042823412,68%
-0.36775343378193787,-1.945857174451903,68%
-0.36205590795508036,-1.9692668472590642,68%
-0.35625749083021446,-1.9924056602137272,68%
-0.3503815305865866,-2.015180441482824,68%
-0.34445168764221445,-2.037499485060401,68%
-0.3384918393817338,-2.059272920035339,68%
-0.3325259840105983,-2.0804130724697916,68%
-0.3265781439227761,-2.1008348184311907,68%
-0.3206722689710477,-2.1204559267562773,68%
-0.3148321400294019,-2.1391973901669745,68%
-0.3090812732358497,-2.1569837434048105,68%
-0.3034428253012362,-2.1737433671028783,68%
-0.2979395002653387,-2.189408776171751,68%
-0.29259345807571285,-2.203916891538117,68%
-0.2874262253574038,-2.217209294141944,68%
-0.2824586087328257,-2.2292324601694182,68%
-0.27771061104083616,-2.239937976574448,68%
-0.2732013507923649,-2.249282736020915,68%
-0.26894898518691707,-2.257229110460704,68%
-0.2649706369999399,-2.263745102648568,68%
-0.26128232563544906,-2.268804474983747,68%
-0.257898902621543,-2.2723868551595197,68%
-0.25483399180854055,-2.2744778181952974,68%
-0.25209993451054447,-2.2750689445209282,68%
-0.24970773981132538,-2.2741578538793323,68%
-0.24766704023462677,-2.27174821491096,68%
-0.24598605295739182,-2.267849730381469,68%
-0.24467154672209196,-2.262478098112115,68%
-0.24372881458139,-2.255654947770162,68%
-0.24316165258488506,-2.2474077537738486,68%
-0.24297234449376082,-2.2377697246626025,68%
-0.1829951948801597,-2.4519461911860105,95%
-0.1833052563777503,-2.433945941012236,95%
-0.18423419236230568,-2.4138037322810106,95%
-0.18577826233647815,-2.3916006705578274,95%
-0.18793124887545165,-2.367426159735814,95%
-0.19068448266231683,-2.3413775420378076,95%
-0.19402687739635077,-2.31355970605358,95%
-0.19794497443363687,-2.284084664390509,95%
-0.20242299698027394,-2.253071102638338,95%
-0.20744291361995673,-2.220643901464201,95%
-0.2129845109201257,-2.1869336337622474,95%
-0.2190254748243252,-2.1520760388826834,95%
-0.22554148050303358,-2.1162114760573187,95%
-0.23250629030116632,-2.0794843592224765,95%
-0.23989185938785257,-2.0420425755150444,95%
-0.2476684486830708,-2.0040368897831673,95%
-0.2558047446064279,-1.9656203375094181,95%
-0.26426798516589545,-1.9269476085909203,95%
-0.27302409187878857,-1.8881744244577296,95%
-0.28203780699378767,-1.849456911037597,95%
-0.2912728354614592,-1.81095097009196,95%
-0.30069199108160966,-1.772811651454575,95%
-0.310257346238989,-1.7351925287005598,95%
-0.3199303846244109,-1.69824508075981,95%
-0.32967215632633595,-1.662118081964811,95%
-0.3394434346684181,-1.6269570029889118,95%
-0.3492048741614855,-1.592903425087264,95%
-0.3589171689339389,-1.56009446999908,95%
-0.36854121100262355,-1.5286622478067833,95%
-0.3780382477468745,-1.4987333249753354,95%
-0.38737003795164265,-1.4704282147137517,95%
-0.39649900579137054,-1.4438608917109432,95%
-0.4053883921345799,-1.4191383331998715,95%
-0.4140024025599202,-1.3963600881979872,95%
-0.4223063514876698,-1.3756178766584737,95%
-0.4302668018463239,-1.356995220146366,95%
-0.43785169971187926,-1.340567105526688,95%
-0.4450305033776739,-1.3263996830188118,95%
-0.45177430633505966,-1.3145499998328742,95%
-0.4580559536697104,-1.3050657704607924,95%
-0.46385015140487773,-1.2979851845468482,95%
-0.46913356835130815,-1.2933367531114688,95%
-0.47388493005370735,-1.2911391937474088,95%
-0.4780851044554634,-1.2914013552506132,95%
-0.48171717893668586,-1.2941221819892363,95%
-0.48476652841535683,-1.2992907181543005,95%
-0.48722087423737453,-1.3068861518748722,95%
-0.48907033361835983,-1.3168778990201195,95%
-0.4903074594381407,-1.329225726350813,95%
-0.4909272702276767,-1.343879913524381,95%
-0.4909272702276767,-1.3607814533011797,95%
-0.4903074594381407,-1.3798622891458208,95%
-0.48907033361835983,-1.40104558926682,95%
-0.48722087423737453,-1.4242460559911043,95%
-0.48476652841535683,-1.449370269227635,95%
-0.48171717893668586,-1.4763170626371425,95%
-0.4780851044554634,-1.5049779309932705,95%
-0.47388493005370735,-1.535237467094823,95%
-0.4691335683513081,-1.5669738264698343,95%
-0.46385015140487773,-1.6000592180002506,95%
-0.4580559536697104,-1.6343604184916631,95%
-0.4517743063350597,-1.6697393091160866,95%
-0.4450305033776739,-1.7060534315677363,95%
-0.4378516997118793,-1.7431565616923421,95%
-0.4302668018463238,-1.7808992982802114,95%
-0.4223063514876699,-1.819129664652168,95%
-0.41400240255992016,-1.8576937206160022,95%
